"date","category_grouped","outbreak_subgroup","TOTAL_CASES"
"2020-05-13","2 Congregate Living","SHELTER",1
"2020-05-13","4 Workplace","RETAIL",1
"2020-05-13","4 Workplace","WORKPLACE - FARM",18
"2020-05-13","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-05-13","4 Workplace","WORKPLACE - OTHER",6
"2020-05-14","1 Congregate Care","HOSPITAL",5
"2020-05-14","1 Congregate Care","LONG-TERM CARE HOME",126
"2020-05-14","1 Congregate Care","RETIREMENT HOME",21
"2020-05-14","2 Congregate Living","CORRECTIONAL FACILITY",4
"2020-05-14","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",4
"2020-05-14","2 Congregate Living","SHELTER",4
"2020-05-14","3 Education","CHILD CARE",2
"2020-05-14","4 Workplace","RETAIL",1
"2020-05-14","4 Workplace","WORKPLACE - FARM",1
"2020-05-14","4 Workplace","WORKPLACE - FOOD PROCESSING",3
"2020-05-14","4 Workplace","WORKPLACE - OTHER",4
"2020-05-14","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-05-15","1 Congregate Care","HOSPITAL",11
"2020-05-15","1 Congregate Care","LONG-TERM CARE HOME",89
"2020-05-15","1 Congregate Care","RETIREMENT HOME",62
"2020-05-15","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2020-05-15","2 Congregate Living","SHELTER",10
"2020-05-15","3 Education","CHILD CARE",1
"2020-05-15","4 Workplace","RETAIL",1
"2020-05-15","4 Workplace","WORKPLACE - FARM",14
"2020-05-15","4 Workplace","WORKPLACE - FOOD PROCESSING",9
"2020-05-15","4 Workplace","WORKPLACE - OTHER",4
"2020-05-16","1 Congregate Care","HOSPITAL",10
"2020-05-16","1 Congregate Care","LONG-TERM CARE HOME",125
"2020-05-16","1 Congregate Care","RETIREMENT HOME",26
"2020-05-16","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",4
"2020-05-16","2 Congregate Living","SHELTER",3
"2020-05-16","4 Workplace","WORKPLACE - FARM",15
"2020-05-16","4 Workplace","WORKPLACE - FOOD PROCESSING",9
"2020-05-16","4 Workplace","WORKPLACE - OTHER",3
"2020-05-17","1 Congregate Care","HOSPITAL",2
"2020-05-17","1 Congregate Care","LONG-TERM CARE HOME",130
"2020-05-17","1 Congregate Care","RETIREMENT HOME",9
"2020-05-17","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",8
"2020-05-17","3 Education","CHILD CARE",1
"2020-05-17","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-05-17","4 Workplace","WORKPLACE - FARM",4
"2020-05-17","4 Workplace","WORKPLACE - FOOD PROCESSING",22
"2020-05-17","4 Workplace","WORKPLACE - OTHER",10
"2020-05-18","1 Congregate Care","HOSPITAL",5
"2020-05-18","1 Congregate Care","LONG-TERM CARE HOME",105
"2020-05-18","1 Congregate Care","RETIREMENT HOME",19
"2020-05-18","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",4
"2020-05-18","2 Congregate Living","SHELTER",3
"2020-05-18","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-05-18","4 Workplace","RETAIL",4
"2020-05-18","4 Workplace","WORKPLACE - FARM",3
"2020-05-18","4 Workplace","WORKPLACE - FOOD PROCESSING",14
"2020-05-18","4 Workplace","WORKPLACE - OTHER",1
"2020-05-19","1 Congregate Care","HOSPITAL",6
"2020-05-19","1 Congregate Care","LONG-TERM CARE HOME",69
"2020-05-19","1 Congregate Care","RETIREMENT HOME",4
"2020-05-19","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",34
"2020-05-19","2 Congregate Living","SHELTER",4
"2020-05-19","4 Workplace","RETAIL",1
"2020-05-19","4 Workplace","WORKPLACE - FARM",6
"2020-05-19","4 Workplace","WORKPLACE - FOOD PROCESSING",5
"2020-05-19","4 Workplace","WORKPLACE - OTHER",8
"2020-05-20","1 Congregate Care","HOSPITAL",3
"2020-05-20","1 Congregate Care","LONG-TERM CARE HOME",79
"2020-05-20","1 Congregate Care","RETIREMENT HOME",2
"2020-05-20","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",13
"2020-05-20","2 Congregate Living","SHELTER",3
"2020-05-20","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-05-20","4 Workplace","RETAIL",3
"2020-05-20","4 Workplace","WORKPLACE - FARM",18
"2020-05-20","4 Workplace","WORKPLACE - FOOD PROCESSING",3
"2020-05-20","4 Workplace","WORKPLACE - OTHER",7
"2020-05-21","1 Congregate Care","HOSPITAL",5
"2020-05-21","1 Congregate Care","LONG-TERM CARE HOME",58
"2020-05-21","1 Congregate Care","RETIREMENT HOME",6
"2020-05-21","2 Congregate Living","SHELTER",8
"2020-05-21","4 Workplace","RETAIL",1
"2020-05-21","4 Workplace","WORKPLACE - FARM",11
"2020-05-21","4 Workplace","WORKPLACE - FOOD PROCESSING",11
"2020-05-21","4 Workplace","WORKPLACE - OTHER",13
"2020-05-22","1 Congregate Care","HOSPITAL",5
"2020-05-22","1 Congregate Care","LONG-TERM CARE HOME",66
"2020-05-22","1 Congregate Care","RETIREMENT HOME",16
"2020-05-22","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2020-05-22","2 Congregate Living","SHELTER",6
"2020-05-22","4 Workplace","RETAIL",1
"2020-05-22","4 Workplace","WORKPLACE - FARM",7
"2020-05-22","4 Workplace","WORKPLACE - FOOD PROCESSING",7
"2020-05-22","4 Workplace","WORKPLACE - OTHER",13
"2020-05-23","1 Congregate Care","HOSPITAL",11
"2020-05-23","1 Congregate Care","LONG-TERM CARE HOME",63
"2020-05-23","1 Congregate Care","RETIREMENT HOME",9
"2020-05-23","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-05-23","2 Congregate Living","SHELTER",10
"2020-05-23","4 Workplace","RETAIL",1
"2020-05-23","4 Workplace","WORKPLACE - FARM",2
"2020-05-23","4 Workplace","WORKPLACE - FOOD PROCESSING",15
"2020-05-23","4 Workplace","WORKPLACE - OTHER",16
"2020-05-24","1 Congregate Care","HOSPITAL",6
"2020-05-24","1 Congregate Care","LONG-TERM CARE HOME",28
"2020-05-24","1 Congregate Care","RETIREMENT HOME",6
"2020-05-24","2 Congregate Living","SHELTER",7
"2020-05-24","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-05-24","4 Workplace","RETAIL",1
"2020-05-24","4 Workplace","WORKPLACE - FARM",33
"2020-05-24","4 Workplace","WORKPLACE - FOOD PROCESSING",13
"2020-05-24","4 Workplace","WORKPLACE - OTHER",6
"2020-05-24","5 Recreational","OTHER RECREATION",2
"2020-05-25","1 Congregate Care","HOSPITAL",9
"2020-05-25","1 Congregate Care","LONG-TERM CARE HOME",39
"2020-05-25","1 Congregate Care","RETIREMENT HOME",6
"2020-05-25","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2020-05-25","2 Congregate Living","SHELTER",5
"2020-05-25","4 Workplace","RETAIL",1
"2020-05-25","4 Workplace","WORKPLACE - FARM",3
"2020-05-25","4 Workplace","WORKPLACE - FOOD PROCESSING",7
"2020-05-25","4 Workplace","WORKPLACE - OTHER",9
"2020-05-26","1 Congregate Care","HOSPITAL",5
"2020-05-26","1 Congregate Care","LONG-TERM CARE HOME",42
"2020-05-26","1 Congregate Care","RETIREMENT HOME",11
"2020-05-26","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",3
"2020-05-26","2 Congregate Living","SHELTER",11
"2020-05-26","4 Workplace","WORKPLACE - FOOD PROCESSING",5
"2020-05-26","4 Workplace","WORKPLACE - OTHER",8
"2020-05-27","1 Congregate Care","HOSPITAL",5
"2020-05-27","1 Congregate Care","LONG-TERM CARE HOME",44
"2020-05-27","1 Congregate Care","RETIREMENT HOME",16
"2020-05-27","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2020-05-27","2 Congregate Living","SHELTER",6
"2020-05-27","4 Workplace","WORKPLACE - FARM",7
"2020-05-27","4 Workplace","WORKPLACE - FOOD PROCESSING",5
"2020-05-27","4 Workplace","WORKPLACE - OTHER",13
"2020-05-28","1 Congregate Care","HOSPITAL",4
"2020-05-28","1 Congregate Care","LONG-TERM CARE HOME",37
"2020-05-28","1 Congregate Care","RETIREMENT HOME",6
"2020-05-28","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",3
"2020-05-28","2 Congregate Living","SHELTER",2
"2020-05-28","4 Workplace","RETAIL",3
"2020-05-28","4 Workplace","WORKPLACE - FARM",22
"2020-05-28","4 Workplace","WORKPLACE - FOOD PROCESSING",9
"2020-05-28","4 Workplace","WORKPLACE - OTHER",18
"2020-05-28","5 Recreational","OTHER RECREATION",1
"2020-05-29","1 Congregate Care","HOSPITAL",6
"2020-05-29","1 Congregate Care","LONG-TERM CARE HOME",53
"2020-05-29","1 Congregate Care","RETIREMENT HOME",8
"2020-05-29","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",7
"2020-05-29","2 Congregate Living","SHELTER",4
"2020-05-29","3 Education","CHILD CARE",1
"2020-05-29","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-05-29","4 Workplace","WORKPLACE - FARM",17
"2020-05-29","4 Workplace","WORKPLACE - FOOD PROCESSING",21
"2020-05-29","4 Workplace","WORKPLACE - OTHER",11
"2020-05-29","5 Recreational","OTHER RECREATION",1
"2020-05-30","1 Congregate Care","HOSPITAL",4
"2020-05-30","1 Congregate Care","LONG-TERM CARE HOME",26
"2020-05-30","1 Congregate Care","RETIREMENT HOME",8
"2020-05-30","2 Congregate Living","SHELTER",4
"2020-05-30","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-05-30","4 Workplace","RETAIL",1
"2020-05-30","4 Workplace","WORKPLACE - FARM",14
"2020-05-30","4 Workplace","WORKPLACE - FOOD PROCESSING",20
"2020-05-30","4 Workplace","WORKPLACE - OTHER",10
"2020-05-31","1 Congregate Care","HOSPITAL",3
"2020-05-31","1 Congregate Care","LONG-TERM CARE HOME",35
"2020-05-31","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2020-05-31","2 Congregate Living","SHELTER",6
"2020-05-31","4 Workplace","RETAIL",3
"2020-05-31","4 Workplace","WORKPLACE - FARM",104
"2020-05-31","4 Workplace","WORKPLACE - FOOD PROCESSING",6
"2020-05-31","4 Workplace","WORKPLACE - OTHER",16
"2020-06-01","1 Congregate Care","HOSPITAL",3
"2020-06-01","1 Congregate Care","LONG-TERM CARE HOME",36
"2020-06-01","1 Congregate Care","RETIREMENT HOME",2
"2020-06-01","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",3
"2020-06-01","2 Congregate Living","SHELTER",8
"2020-06-01","4 Workplace","WORKPLACE - FARM",100
"2020-06-01","4 Workplace","WORKPLACE - FOOD PROCESSING",7
"2020-06-01","4 Workplace","WORKPLACE - OTHER",11
"2020-06-01","5 Recreational","OTHER RECREATION",1
"2020-06-02","1 Congregate Care","HOSPITAL",4
"2020-06-02","1 Congregate Care","LONG-TERM CARE HOME",31
"2020-06-02","1 Congregate Care","RETIREMENT HOME",2
"2020-06-02","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",3
"2020-06-02","2 Congregate Living","SHELTER",14
"2020-06-02","4 Workplace","RETAIL",1
"2020-06-02","4 Workplace","WORKPLACE - FARM",40
"2020-06-02","4 Workplace","WORKPLACE - FOOD PROCESSING",7
"2020-06-02","4 Workplace","WORKPLACE - OTHER",9
"2020-06-03","1 Congregate Care","HOSPITAL",2
"2020-06-03","1 Congregate Care","LONG-TERM CARE HOME",52
"2020-06-03","1 Congregate Care","RETIREMENT HOME",2
"2020-06-03","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",3
"2020-06-03","2 Congregate Living","SHELTER",11
"2020-06-03","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-06-03","4 Workplace","WORKPLACE - FARM",10
"2020-06-03","4 Workplace","WORKPLACE - FOOD PROCESSING",7
"2020-06-03","4 Workplace","WORKPLACE - OTHER",13
"2020-06-04","1 Congregate Care","HOSPITAL",12
"2020-06-04","1 Congregate Care","LONG-TERM CARE HOME",31
"2020-06-04","1 Congregate Care","RETIREMENT HOME",8
"2020-06-04","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2020-06-04","2 Congregate Living","SHELTER",3
"2020-06-04","4 Workplace","WORKPLACE - FARM",1
"2020-06-04","4 Workplace","WORKPLACE - FOOD PROCESSING",4
"2020-06-04","4 Workplace","WORKPLACE - OTHER",10
"2020-06-04","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-06-05","1 Congregate Care","HOSPITAL",1
"2020-06-05","1 Congregate Care","LONG-TERM CARE HOME",25
"2020-06-05","1 Congregate Care","RETIREMENT HOME",1
"2020-06-05","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2020-06-05","2 Congregate Living","SHELTER",16
"2020-06-05","4 Workplace","RETAIL",2
"2020-06-05","4 Workplace","WORKPLACE - FARM",15
"2020-06-05","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-06-05","4 Workplace","WORKPLACE - OTHER",7
"2020-06-06","1 Congregate Care","HOSPITAL",3
"2020-06-06","1 Congregate Care","LONG-TERM CARE HOME",23
"2020-06-06","1 Congregate Care","RETIREMENT HOME",3
"2020-06-06","2 Congregate Living","CORRECTIONAL FACILITY",2
"2020-06-06","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2020-06-06","2 Congregate Living","SHELTER",9
"2020-06-06","4 Workplace","WORKPLACE - FARM",3
"2020-06-06","4 Workplace","WORKPLACE - FOOD PROCESSING",5
"2020-06-06","4 Workplace","WORKPLACE - OTHER",8
"2020-06-07","1 Congregate Care","HOSPITAL",1
"2020-06-07","1 Congregate Care","LONG-TERM CARE HOME",25
"2020-06-07","2 Congregate Living","SHELTER",4
"2020-06-07","4 Workplace","WORKPLACE - FARM",7
"2020-06-07","4 Workplace","WORKPLACE - FOOD PROCESSING",3
"2020-06-07","4 Workplace","WORKPLACE - OTHER",7
"2020-06-08","1 Congregate Care","LONG-TERM CARE HOME",19
"2020-06-08","1 Congregate Care","RETIREMENT HOME",4
"2020-06-08","2 Congregate Living","SHELTER",2
"2020-06-08","4 Workplace","RETAIL",1
"2020-06-08","4 Workplace","WORKPLACE - FARM",38
"2020-06-08","4 Workplace","WORKPLACE - OTHER",7
"2020-06-08","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-06-09","1 Congregate Care","HOSPITAL",3
"2020-06-09","1 Congregate Care","LONG-TERM CARE HOME",21
"2020-06-09","1 Congregate Care","RETIREMENT HOME",2
"2020-06-09","2 Congregate Living","SHELTER",9
"2020-06-09","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-06-09","4 Workplace","RETAIL",2
"2020-06-09","4 Workplace","WORKPLACE - FARM",38
"2020-06-09","4 Workplace","WORKPLACE - FOOD PROCESSING",3
"2020-06-09","4 Workplace","WORKPLACE - OTHER",9
"2020-06-10","1 Congregate Care","LONG-TERM CARE HOME",31
"2020-06-10","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-06-10","2 Congregate Living","SHELTER",3
"2020-06-10","4 Workplace","RETAIL",2
"2020-06-10","4 Workplace","WORKPLACE - FARM",13
"2020-06-10","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-06-10","4 Workplace","WORKPLACE - OTHER",10
"2020-06-10","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-06-10","5 Recreational","OTHER RECREATION",1
"2020-06-11","1 Congregate Care","HOSPITAL",3
"2020-06-11","1 Congregate Care","LONG-TERM CARE HOME",19
"2020-06-11","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2020-06-11","4 Workplace","RETAIL",1
"2020-06-11","4 Workplace","WORKPLACE - FARM",9
"2020-06-11","4 Workplace","WORKPLACE - OTHER",1
"2020-06-11","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",3
"2020-06-12","1 Congregate Care","LONG-TERM CARE HOME",11
"2020-06-12","2 Congregate Living","SHELTER",7
"2020-06-12","4 Workplace","RETAIL",3
"2020-06-12","4 Workplace","WORKPLACE - FARM",41
"2020-06-12","4 Workplace","WORKPLACE - FOOD PROCESSING",3
"2020-06-12","4 Workplace","WORKPLACE - OTHER",5
"2020-06-12","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-06-13","1 Congregate Care","HOSPITAL",1
"2020-06-13","1 Congregate Care","LONG-TERM CARE HOME",23
"2020-06-13","1 Congregate Care","RETIREMENT HOME",2
"2020-06-13","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-06-13","2 Congregate Living","SHELTER",5
"2020-06-13","4 Workplace","RETAIL",1
"2020-06-13","4 Workplace","WORKPLACE - FARM",8
"2020-06-13","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-06-13","4 Workplace","WORKPLACE - OTHER",6
"2020-06-14","1 Congregate Care","LONG-TERM CARE HOME",14
"2020-06-14","1 Congregate Care","RETIREMENT HOME",1
"2020-06-14","4 Workplace","WORKPLACE - FARM",10
"2020-06-14","4 Workplace","WORKPLACE - FOOD PROCESSING",3
"2020-06-14","4 Workplace","WORKPLACE - OTHER",2
"2020-06-15","1 Congregate Care","LONG-TERM CARE HOME",13
"2020-06-15","1 Congregate Care","RETIREMENT HOME",2
"2020-06-15","2 Congregate Living","SHELTER",1
"2020-06-15","3 Education","CHILD CARE",1
"2020-06-15","4 Workplace","WORKPLACE - FARM",15
"2020-06-15","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-06-15","4 Workplace","WORKPLACE - OTHER",3
"2020-06-15","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-06-16","1 Congregate Care","HOSPITAL",2
"2020-06-16","1 Congregate Care","LONG-TERM CARE HOME",18
"2020-06-16","2 Congregate Living","CONGREGATE OTHER",1
"2020-06-16","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2020-06-16","4 Workplace","WORKPLACE - FARM",7
"2020-06-16","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-06-16","4 Workplace","WORKPLACE - OTHER",3
"2020-06-17","1 Congregate Care","HOSPITAL",2
"2020-06-17","1 Congregate Care","LONG-TERM CARE HOME",35
"2020-06-17","2 Congregate Living","CONGREGATE OTHER",1
"2020-06-17","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-06-17","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-06-17","4 Workplace","WORKPLACE - FARM",8
"2020-06-17","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-06-17","4 Workplace","WORKPLACE - OTHER",6
"2020-06-18","1 Congregate Care","HOSPITAL",2
"2020-06-18","1 Congregate Care","LONG-TERM CARE HOME",22
"2020-06-18","1 Congregate Care","RETIREMENT HOME",1
"2020-06-18","4 Workplace","RETAIL",2
"2020-06-18","4 Workplace","WORKPLACE - FARM",17
"2020-06-18","4 Workplace","WORKPLACE - FOOD PROCESSING",12
"2020-06-18","4 Workplace","WORKPLACE - OTHER",4
"2020-06-19","1 Congregate Care","HOSPITAL",1
"2020-06-19","1 Congregate Care","LONG-TERM CARE HOME",15
"2020-06-19","1 Congregate Care","RETIREMENT HOME",1
"2020-06-19","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",3
"2020-06-19","2 Congregate Living","SHELTER",2
"2020-06-19","4 Workplace","RETAIL",1
"2020-06-19","4 Workplace","WORKPLACE - FARM",33
"2020-06-19","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-06-19","4 Workplace","WORKPLACE - OTHER",1
"2020-06-20","1 Congregate Care","HOSPITAL",1
"2020-06-20","1 Congregate Care","LONG-TERM CARE HOME",23
"2020-06-20","4 Workplace","WORKPLACE - FARM",3
"2020-06-20","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-06-20","4 Workplace","WORKPLACE - OTHER",5
"2020-06-20","5 Recreational","PERSONAL SERVICE SETTINGS",1
"2020-06-21","1 Congregate Care","HOSPITAL",7
"2020-06-21","1 Congregate Care","LONG-TERM CARE HOME",19
"2020-06-21","1 Congregate Care","RETIREMENT HOME",1
"2020-06-21","4 Workplace","WORKPLACE - FARM",30
"2020-06-21","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-06-21","4 Workplace","WORKPLACE - OTHER",5
"2020-06-22","1 Congregate Care","LONG-TERM CARE HOME",18
"2020-06-22","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-06-22","4 Workplace","WORKPLACE - FARM",30
"2020-06-22","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-06-22","4 Workplace","WORKPLACE - OTHER",4
"2020-06-22","5 Recreational","OTHER RECREATION",1
"2020-06-23","1 Congregate Care","HOSPITAL",2
"2020-06-23","1 Congregate Care","LONG-TERM CARE HOME",7
"2020-06-23","4 Workplace","WORKPLACE - FARM",2
"2020-06-23","4 Workplace","WORKPLACE - FOOD PROCESSING",7
"2020-06-23","4 Workplace","WORKPLACE - OTHER",1
"2020-06-23","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-06-23","5 Recreational","PERSONAL SERVICE SETTINGS",1
"2020-06-24","1 Congregate Care","HOSPITAL",2
"2020-06-24","1 Congregate Care","LONG-TERM CARE HOME",20
"2020-06-24","4 Workplace","WORKPLACE - FARM",1
"2020-06-24","4 Workplace","WORKPLACE - OTHER",3
"2020-06-24","5 Recreational","PERSONAL SERVICE SETTINGS",1
"2020-06-25","1 Congregate Care","HOSPITAL",2
"2020-06-25","1 Congregate Care","LONG-TERM CARE HOME",11
"2020-06-25","4 Workplace","WORKPLACE - FARM",2
"2020-06-25","4 Workplace","WORKPLACE - OTHER",4
"2020-06-25","5 Recreational","PERSONAL SERVICE SETTINGS",5
"2020-06-26","1 Congregate Care","HOSPITAL",1
"2020-06-26","1 Congregate Care","LONG-TERM CARE HOME",16
"2020-06-26","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-06-26","2 Congregate Living","SHELTER",1
"2020-06-26","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-06-26","4 Workplace","WORKPLACE - FARM",12
"2020-06-26","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-06-26","4 Workplace","WORKPLACE - OTHER",4
"2020-06-27","1 Congregate Care","HOSPITAL",2
"2020-06-27","1 Congregate Care","LONG-TERM CARE HOME",8
"2020-06-27","4 Workplace","WORKPLACE - FARM",95
"2020-06-27","4 Workplace","WORKPLACE - FOOD PROCESSING",4
"2020-06-27","4 Workplace","WORKPLACE - OTHER",2
"2020-06-27","5 Recreational","PERSONAL SERVICE SETTINGS",4
"2020-06-28","1 Congregate Care","HOSPITAL",1
"2020-06-28","1 Congregate Care","LONG-TERM CARE HOME",9
"2020-06-28","4 Workplace","WORKPLACE - FARM",87
"2020-06-28","4 Workplace","WORKPLACE - OTHER",4
"2020-06-28","5 Recreational","PERSONAL SERVICE SETTINGS",1
"2020-06-29","1 Congregate Care","HOSPITAL",1
"2020-06-29","1 Congregate Care","LONG-TERM CARE HOME",3
"2020-06-29","1 Congregate Care","RETIREMENT HOME",3
"2020-06-29","2 Congregate Living","SHELTER",1
"2020-06-29","4 Workplace","WORKPLACE - FARM",3
"2020-06-29","5 Recreational","PERSONAL SERVICE SETTINGS",2
"2020-06-30","1 Congregate Care","HOSPITAL",2
"2020-06-30","1 Congregate Care","LONG-TERM CARE HOME",10
"2020-06-30","4 Workplace","WORKPLACE - FARM",7
"2020-06-30","4 Workplace","WORKPLACE - OTHER",4
"2020-07-01","1 Congregate Care","HOSPITAL",1
"2020-07-01","1 Congregate Care","LONG-TERM CARE HOME",23
"2020-07-01","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-07-01","2 Congregate Living","SHELTER",1
"2020-07-01","4 Workplace","RETAIL",1
"2020-07-01","4 Workplace","WORKPLACE - FARM",2
"2020-07-01","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-07-01","5 Recreational","PERSONAL SERVICE SETTINGS",1
"2020-07-02","1 Congregate Care","HOSPITAL",1
"2020-07-02","1 Congregate Care","LONG-TERM CARE HOME",11
"2020-07-02","1 Congregate Care","RETIREMENT HOME",1
"2020-07-02","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-07-02","4 Workplace","WORKPLACE - FARM",18
"2020-07-02","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-07-02","4 Workplace","WORKPLACE - OTHER",3
"2020-07-03","1 Congregate Care","HOSPITAL",1
"2020-07-03","1 Congregate Care","LONG-TERM CARE HOME",2
"2020-07-03","1 Congregate Care","RETIREMENT HOME",1
"2020-07-03","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-07-03","4 Workplace","WORKPLACE - FARM",11
"2020-07-03","4 Workplace","WORKPLACE - OTHER",1
"2020-07-04","1 Congregate Care","LONG-TERM CARE HOME",6
"2020-07-04","1 Congregate Care","RETIREMENT HOME",1
"2020-07-04","4 Workplace","WORKPLACE - FARM",5
"2020-07-04","4 Workplace","WORKPLACE - OTHER",1
"2020-07-05","1 Congregate Care","HOSPITAL",2
"2020-07-05","1 Congregate Care","RETIREMENT HOME",1
"2020-07-05","2 Congregate Living","SHELTER",1
"2020-07-05","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-07-05","4 Workplace","WORKPLACE - OTHER",1
"2020-07-06","1 Congregate Care","LONG-TERM CARE HOME",2
"2020-07-06","1 Congregate Care","RETIREMENT HOME",1
"2020-07-06","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2020-07-06","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-07-06","4 Workplace","WORKPLACE - OTHER",6
"2020-07-07","1 Congregate Care","LONG-TERM CARE HOME",21
"2020-07-07","4 Workplace","WORKPLACE - FARM",20
"2020-07-07","4 Workplace","WORKPLACE - OTHER",3
"2020-07-08","1 Congregate Care","HOSPITAL",3
"2020-07-08","1 Congregate Care","LONG-TERM CARE HOME",4
"2020-07-08","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-07-08","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-07-08","4 Workplace","WORKPLACE - FARM",31
"2020-07-08","4 Workplace","WORKPLACE - OTHER",6
"2020-07-08","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-07-09","1 Congregate Care","HOSPITAL",1
"2020-07-09","1 Congregate Care","LONG-TERM CARE HOME",9
"2020-07-09","1 Congregate Care","RETIREMENT HOME",2
"2020-07-09","2 Congregate Living","SHELTER",1
"2020-07-09","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-07-09","4 Workplace","WORKPLACE - FARM",2
"2020-07-09","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-07-09","4 Workplace","WORKPLACE - OTHER",8
"2020-07-10","1 Congregate Care","LONG-TERM CARE HOME",4
"2020-07-10","1 Congregate Care","RETIREMENT HOME",1
"2020-07-10","4 Workplace","RETAIL",1
"2020-07-10","4 Workplace","WORKPLACE - FARM",2
"2020-07-10","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-07-10","4 Workplace","WORKPLACE - OTHER",3
"2020-07-11","1 Congregate Care","HOSPITAL",3
"2020-07-11","1 Congregate Care","LONG-TERM CARE HOME",8
"2020-07-11","1 Congregate Care","RETIREMENT HOME",1
"2020-07-11","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",1
"2020-07-11","4 Workplace","WORKPLACE - FARM",6
